번호,대분류,중분류,소분류,기능명,기능 설명,사전조건,사용자 조작 방법,기대 결과,비고
83,관리자,조치관리,테이블 구성,조치 목록 테이블,"전체 조치 이력을 테이블로 표시",조치관리 페이지 접속,테이블 확인,"컬럼: ①항공사 ②호출부호쌍 ③위험도 ④조치유형 ⑤담당자 ⑥상태(색상배지) ⑦등록일. 행 클릭으로 상세/수정 모달 열림",
84,관리자,조치관리,엑셀 내보내기,조치 데이터 엑셀 다운로드,"조치 관리 테이블 데이터를 엑셀 파일로 내보내기",조치관리 페이지 접속,엑셀 내보내기 버튼 클릭,"현재 필터 적용된 조치 데이터가 엑셀(.xlsx) 파일로 다운로드됨",
85,관리자,공지사항관리,페이지 접근,공지사항 관리 페이지,"공지사항 목록을 관리하는 페이지. 생성/수정/삭제 기능 제공",관리자 로그인,"좌측 메뉴에서 '공지사항' 클릭","공지사항 테이블 표시. 컬럼: 제목/긴급도/상태(활성/비활성)/조회수/생성일/액션. 상단에 '+ 공지사항 작성' 버튼",
86,관리자,공지사항관리,공지 작성,공지사항 생성 모달,"새 공지사항을 작성하는 모달",공지사항관리 페이지 접속,"'+ 공지사항 작성' 버튼 클릭","공지 작성 모달 열림. 제목, 내용(텍스트에디터), 긴급도(낮음/보통/높음/긴급) 선택, 상태(활성/비활성) 입력란이 표시됨",
87,관리자,공지사항관리,공지 저장,공지사항 등록 실행,"작성한 공지사항을 저장하여 등록",공지 작성 모달에서 내용 입력 완료,"'저장' 버튼 클릭","[성공] '공지사항이 등록되었습니다' 메시지. 테이블에 새 공지 행 추가. 활성 상태면 항공사 사용자에게 팝업으로 표시됨. [실패] 제목 미입력 시 유효성 에러",
88,관리자,공지사항관리,공지 수정,공지사항 편집,"기존 공지사항의 내용/긴급도/상태를 수정",공지사항 존재,해당 행의 '편집' 버튼 클릭,"편집 모달 열림. 기존값이 채워진 폼. 수정 후 저장 시 테이블 업데이트",
89,관리자,공지사항관리,공지 삭제,공지사항 삭제,"공지사항을 삭제",공지사항 존재,해당 행의 '삭제' 버튼 클릭,"확인 대화상자 → 확인 시 해당 공지가 테이블에서 제거됨",
90,관리자,공지사항관리,공지 상세보기,공지사항 상세 모달,"공지사항 전문을 모달로 확인",공지사항 존재,공지 행 클릭,"상세 모달에 제목, 내용 전문, 긴급도, 상태, 생성일, 조회수가 표시됨",
91,관리자,설정,조치유형 관리,조치유형 설정 페이지,"항공사 사용자가 조치 등록 시 선택할 수 있는 조치유형 목록을 관리",관리자 로그인,"좌측 메뉴에서 '설정 > 조치유형' 클릭","조치유형 목록 테이블 표시. 컬럼: 조치유형명/설명/순서/활성화 토글/액션(편집/삭제)",
92,관리자,설정,조치유형 추가,조치유형 등록,"새로운 조치유형을 추가 (예: 조종사브리핑/운항공지 등)",조치유형 관리 페이지 접속,조치유형 추가 버튼 클릭,"등록 모달 열림. 유형명/설명/활성화여부 입력. 저장 시 테이블에 추가됨. 항공사 사용자의 조치 등록 드롭다운에 반영됨",
93,관리자,설정,조치유형 편집,조치유형 수정,"기존 조치유형의 이름/설명/활성화 상태를 수정",조치유형 존재,해당 행의 '편집' 버튼 클릭,"편집 모달 열림. 수정 후 저장 시 테이블 업데이트. 비활성화 시 항공사 사용자의 드롭다운에서 제외됨",
94,관리자,설정,조치유형 삭제,조치유형 삭제,"조치유형을 삭제",조치유형 존재,해당 행의 '삭제' 버튼 클릭,"확인 대화상자 → 확인 시 삭제됨. 이미 사용 중인 유형은 삭제 시 경고",
95,관리자,설정,조치유형 순서,조치유형 순서 변경,"조치유형의 표시 순서를 드래그앤드롭으로 변경",조치유형 관리 페이지 접속,행을 드래그하여 순서 변경,"표시 순서가 변경됨. 항공사 사용자의 조치유형 드롭다운 순서에 반영됨",
96,관리자,설정,조치유형 토글,활성화/비활성화 토글,"조치유형의 활성 상태를 토글 스위치로 빠르게 변경",조치유형 존재,해당 행의 활성화 토글 클릭,"토글 ON→OFF: 비활성화(항공사 드롭다운에서 숨김). 토글 OFF→ON: 활성화(드롭다운에 표시)",
97,관리자,비밀번호 초기화,페이지 접근,비밀번호 초기화 기능,"특정 사용자의 비밀번호를 관리자가 초기화하여 임시 비밀번호를 발급",관리자 로그인,"좌측 메뉴에서 '비밀번호 초기화' 클릭","이메일/사용자ID 검색 필드와 초기화 버튼이 표시됨",
98,관리자,비밀번호 초기화,초기화 실행,비밀번호 초기화 실행,"사용자를 검색한 후 비밀번호를 임시 비밀번호로 초기화",비밀번호 초기화 페이지 접속,"사용자 이메일 입력 → '초기화' 버튼 클릭","[성공] 임시 비밀번호가 생성되어 화면에 표시됨. 복사 버튼으로 클립보드에 복사 가능. 해당 사용자는 다음 로그인 시 비밀번호 변경 강제됨. [실패] 존재하지 않는 사용자 에러",
99,공통,로그아웃,버튼,로그아웃,"현재 세션을 종료하고 로그인 페이지로 이동. 토큰이 무효화됨",로그인 상태,"우측 상단 사용자 메뉴 또는 로그아웃 버튼 클릭","세션이 종료되고 로그인 페이지로 이동. 저장된 토큰(AccessToken/RefreshToken)이 삭제됨",
100,공통,토큰 자동갱신,자동,토큰 자동 갱신,"AccessToken(30분) 만료 시 RefreshToken(7일)으로 자동 갱신. 사용자는 인지하지 못함",로그인 상태,일반 사용 중 자동 발생,"AccessToken 만료 시 자동으로 /api/auth/refresh 호출하여 새 토큰 발급. 사용자 작업이 중단되지 않음. RefreshToken까지 만료 시 로그인 페이지로 이동",
101,공통,세션 만료,자동,세션 만료 처리,"RefreshToken(7일)이 만료되면 자동으로 로그인 페이지로 이동",RefreshToken 만료,장시간 미사용 후 페이지 조작,"'세션이 만료되었습니다. 다시 로그인해주세요' 메시지 표시 후 로그인 페이지로 이동",
102,공통,권한 제어,자동,역할 기반 접근 제어,"일반사용자는 항공사 대시보드만 접근 가능. 관리자는 관리 메뉴 접근 가능. 권한 없는 페이지 접근 시 차단",로그인 상태,"URL 직접 입력으로 권한 없는 페이지 접근 시도 (예: 일반사용자가 /admin/users 접근)","403 에러 또는 로그인 페이지로 리다이렉트. '권한이 없습니다' 메시지 표시",
103,공통,반응형 디자인,자동,모바일/데스크톱 대응,"모바일 화면에서도 레이아웃이 적절히 조정됨",없음,브라우저 창 크기 조절 또는 모바일 기기에서 접속,"모바일: 사이드바가 숨겨지고 햄버거 메뉴로 전환. 테이블이 가로 스크롤 가능. 카드가 1열로 재배치됨. 데스크톱: 사이드바 고정, 2열 그리드 등 넓은 레이아웃 활용",
